Strong's Number,Original Word,Testament,Has English,Has Telugu,Part of Speech,Gloss/Note
G385,"ἀνασπάω",Greek (NT),No,No,,""
G386,"ἀνάστασις",Greek (NT),No,Yes,,""
G387,"ἀναστατόω",Greek (NT),No,No,,""
G388,"ἀνασταυρόω",Greek (NT),No,No,,""
G389,"ἀναστενάζω",Greek (NT),No,No,,""
G390,"ἀναστρέφω",Greek (NT),No,No,,""
G391,"ἀναστροφή",Greek (NT),No,No,,""
G392,"ἀνατάσσομαι",Greek (NT),No,No,,""
G393,"ἀνατέλλω",Greek (NT),No,No,,""
G394,"ἀνατίθεμαι",Greek (NT),No,No,,""
G395,"ἀνατολή",Greek (NT),No,No,,""
G396,"ἀνατρέπω",Greek (NT),No,No,,""
G397,"ἀνατρέφω",Greek (NT),No,No,,""
G398,"ἀναφαίνω",Greek (NT),No,No,,""
G399,"ἀναφέρω",Greek (NT),No,No,,""
G400,"ἀναφωνέω",Greek (NT),No,No,,""
G401,"ἀνάχυσις",Greek (NT),No,No,,""
G402,"ἀναχωρέω",Greek (NT),No,No,,""
G403,"ἀνάψυξις",Greek (NT),No,No,,""
G404,"ἀναψύχω",Greek (NT),No,No,,""
G405,"ἀνδραποδιστής",Greek (NT),No,No,,""
G406,"Ἀνδρέας",Greek (NT),No,No,,""
G407,"ἀνδρίζομαι",Greek (NT),No,No,,""
G408,"Ἀνδρόνικος",Greek (NT),No,No,,""
G409,"ἀνδροφόνος",Greek (NT),No,No,,""
G410,"ἀνέγκλητος",Greek (NT),No,No,,""
G411,"ἀνεκδιήγητος",Greek (NT),No,No,,""
G412,"ἀνεκλάλητος",Greek (NT),No,No,,""
G413,"ἀνέκλειπτος",Greek (NT),No,No,,""
G414,"ἀνεκτότερος",Greek (NT),No,No,,""
G415,"ἀνελεήμων",Greek (NT),No,No,,""
G416,"ἀνεμίζω",Greek (NT),No,No,,""
G417,"ἄνεμος",Greek (NT),No,No,,""
G418,"ἀνένδεκτος",Greek (NT),No,No,,""
G419,"ἀνεξερεύνητος",Greek (NT),No,No,,""
G420,"ἀνεξίκακος",Greek (NT),No,No,,""
G421,"ἀνεξιχνίαστος",Greek (NT),No,No,,""
G422,"ἀνεπαίσχυντος",Greek (NT),No,No,,""
G423,"ἀνεπίληπτος",Greek (NT),No,No,,""
G424,"ἀνέρχομαι",Greek (NT),No,No,,""
G425,"ἄνεσις",Greek (NT),No,No,,""
G426,"ἀνετάζω",Greek (NT),No,No,,""
G427,"ἄνευ",Greek (NT),No,No,,""
G428,"ἀνεύθετος",Greek (NT),No,No,,""
G429,"ἀνευρίσκω",Greek (NT),No,No,,""
G430,"ἀνέχομαι",Greek (NT),No,No,,""
G431,"ἀνεψιός",Greek (NT),No,No,,""
G432,"ἄνηθον",Greek (NT),No,No,,""
G433,"ἀνήκω",Greek (NT),No,No,,""
G434,"ἀνήμερος",Greek (NT),No,No,,""
G435,"ἀνήρ",Greek (NT),No,Yes,,""
G436,"ἀνθίστημι",Greek (NT),No,No,,""
G437,"ἀνθομολογέομαι",Greek (NT),No,No,,""
G438,"ἄνθος",Greek (NT),No,No,,""
G439,"ἀνθρακιά",Greek (NT),No,No,,""
G440,"ἄνθραξ",Greek (NT),No,No,,""
G441,"ἀνθρωπάρεσκος",Greek (NT),No,No,,""
G442,"ἀνθρώπινος",Greek (NT),No,No,,""
G443,"ἀνθρωποκτόνος",Greek (NT),No,No,,""
G444,"ἄνθρωπος",Greek (NT),No,Yes,,""
G445,"ἀνθυπατεύω",Greek (NT),No,No,,""
G446,"ἀνθύπατος",Greek (NT),No,No,,""
G447,"ἀνίημι",Greek (NT),No,No,,""
G448,"ἀνίλεως",Greek (NT),No,No,,""
G449,"ἄνιπτος",Greek (NT),No,No,,""
G450,"ἀνίστημι",Greek (NT),No,Yes,,""
G451,"Ἄννα",Greek (NT),No,No,,""
G452,"Ἄννας",Greek (NT),No,No,,""
G453,"ἀνόητος",Greek (NT),No,No,,""
G454,"ἄνοια",Greek (NT),No,No,,""
G455,"ἀνοίγω",Greek (NT),No,Yes,,""
G456,"ἀνοικοδομέω",Greek (NT),No,No,,""
G457,"ἄνοιξις",Greek (NT),No,No,,""
G458,"ἀνομία",Greek (NT),No,No,,""
G459,"ἄνομος",Greek (NT),No,No,,""
G460,"ἀνόμως",Greek (NT),No,No,,""
G461,"ἀνορθόω",Greek (NT),No,No,,""
G462,"ἀνόσιος",Greek (NT),No,No,,""
G463,"ἀνοχή",Greek (NT),No,No,,""
G464,"ἀνταγωνίζομαι",Greek (NT),No,No,,""
G465,"ἀντάλλαγμα",Greek (NT),No,No,,""
G466,"ἀνταναπληρόω",Greek (NT),No,No,,""
G467,"ἀνταποδίδωμι",Greek (NT),No,No,,""
G468,"ἀνταπόδομα",Greek (NT),No,No,,""
G469,"ἀνταπόδοσις",Greek (NT),No,No,,""
G470,"ἀνταποκρίνομαι",Greek (NT),No,No,,""
G471,"ἀντέπω",Greek (NT),No,No,,""
G472,"ἀντέχομαι",Greek (NT),No,No,,""
G473,"ἀντί",Greek (NT),No,No,,""
G474,"ἀντιβάλλω",Greek (NT),No,No,,""
G475,"ἀντιδιατίθεμαι",Greek (NT),No,No,,""
G476,"ἀντίδικος",Greek (NT),No,No,,""
G477,"ἀντίθεσις",Greek (NT),No,No,,""
G478,"ἀντικαθίστημι",Greek (NT),No,No,,""
G479,"ἀντικαλέω",Greek (NT),No,No,,""
